<UNK> 1.0	sil
a 1.0	aa 
a'w 1.0	aa ww 
a'y 1.0	aa ii 
a-y 1.0	aa ii 
aa 1.0	aa aa 
aba 1.0	aa bb aa 
abitiyé 1.0	aa bb ii tt yy ii 
abityèlman 1.0	aa bb ii tt ii 
abiyé 1.0	aa bb yy ii 
abominab 1.0	aa bb oo mm ii nn aa bb 
abon 1.0	aa bb on 
abon 1.0	aa bb on nn 
abîmes 1.0	aa bb 
accord 1.0	aa kk oo rr 
accord 1.0	aa kk oo rr tt 
achté 1.0	aa kk 
achté 1.0	aa kk tt 
actes 1.0	aa kk tt 
actes 1.0	aa kk tt zz 
action 1.0	aa kk ss yy on 
action 1.0	aa kk ss yy on nn 
actions 1.0	aa kk ss yy on 
actions 1.0	aa kk ss yy on zz 
adan 1.0	aa dd an 
adan 1.0	aa dd an nn 
adanadan 1.0	aa dd aa nn aa dd an 
adanadan 1.0	aa dd aa nn aa dd an nn 
adapté 1.0	aa dd aa pp tt 
adapté-y 1.0	aa dd aa pp tt 
adaptés 1.0	aa dd aa pp tt 
admettons 1.0	aa dd mm ai tt on 
admettons 1.0	aa dd mm ai tt on zz 
adopté-y 1.0	aa dd oo pp tt 
adoré 1.0	aa dd oo rr 
afrik 1.0	aa ff rr ii kk 
afrikèn 1.0	aa ff rr ii kk 
afronté 1.0	aa ff rr on 
afronté 1.0	aa ff rr on tt 
afè 1.0	aa ff 
agrikilti 1.0	aa gg rr ii kk ii ll tt ii 
agrikiltè 1.0	aa gg rr ii kk ii ll 
agrikiltè 1.0	aa gg rr ii kk ii ll tt 
agrèr 1.0	aa gg rr 
agrèr 1.0	aa gg rr ee 
aides 1.0	ai dd 
aides 1.0	ai dd zz 
aka 1.0	aa kk aa 
ako 1.0	aa kk au 
akonpli 1.0	aa kk on pp ll ii 
aksantyé 1.0	aa kk ss an tt ii 
aksèpté 1.0	aa kk 
aksèpté 1.0	aa kk zz 
aksé 1.0	aa kk 
aksé 1.0	aa kk zz 
aksépté 1.0	aa kk 
aksépté 1.0	aa kk zz 
aktivité 1.0	aa kk tt ii vv ii 
aktivité 1.0	aa kk tt ii vv ii tt 
aktyal 1.0	aa kk tt yy aa ll 
aktyèlman 1.0	aa kk tt ii 
ale 1.0	aa ll 
alentou 1.0	aa ll an tt ou 
aliman 1.0	aa ll ii mm an 
aliman 1.0	aa ll ii mm an nn 
aller 1.0	aa ll ei 
alokasyon 1.0	aa ll oo kk aa zz yy on 
alokasyon 1.0	aa ll oo kk aa zz yy on nn 
alè 1.0	aa ll 
alé 1.0	aa ll 
alò 1.0	aa ll 
amisman 1.0	aa mm ii ss mm an 
amisman 1.0	aa mm ii ss mm an nn 
amizman 1.0	aa mm ii zz mm an 
amizman 1.0	aa mm ii zz mm an nn 
amizé 1.0	aa mm ii 
amizé 1.0	aa mm ii zz 
amoni 1.0	aa mm oo nn ii 
amé 1.0	aa mm 
an 1.0	an 
an 1.0	an nn 
anan 1.0	aa nn an 
anan 1.0	aa nn an nn 
ananvlop 1.0	aa nn an vv ll au 
ananvlop 1.0	aa nn an vv ll au pp 
ananvè 1.0	aa nn an vv 
anba 1.0	an bb aa 
ancien 1.0	an ss yy in 
ancien 1.0	an ss yy in nn 
andanjé 1.0	an dd an jj 
andidan 1.0	an dd ii dd an 
andidan 1.0	an dd ii dd an nn 
andéwò 1.0	ai nn dd 
andéwò 1.0	ai nn dd tt 
anfas 1.0	an ff aa 
anfas 1.0	an ff aa zz 
anfen 1.0	an ff ai nn 
anfèt 1.0	an ff 
anglofòn 1.0	an gg ll oo ff 
anglophones 1.0	an gg ll oo ff oo nn 
anglophones 1.0	an gg ll oo ff oo nn zz 
angrè 1.0	an gg rr 
angrè 1.0	an gg rr ee 
anivèsè 1.0	aa nn ii vv 
anka 1.0	an kk aa 
anklav 1.0	an kk ll aa vv 
anko 1.0	an kk au 
ankò 1.0	an kk 
anlo 1.0	an ll au 
anlè 1.0	an ll 
anmèm 1.0	an mm 
anmèwdé-w 1.0	an mm 
