# gunzip -c exp/tri3a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:52:48 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 12.0337301587% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 35.5349344978% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 82.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
At utterance begin, kk_B accounts for 12.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,11) frames.
At utterance begin, SIL accounts for 12.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,14.3,45) frames.
At utterance begin, pp_B accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
At utterance begin, ai_B accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,11) frames.
At utterance begin, sil_S accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,28.6,85) frames.
At utterance begin, tt_B accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
At utterance begin, dd_B accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
At utterance begin, nn_B accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,16) frames.
At utterance begin, ll_B accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
At utterance begin, ss_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
At utterance begin, mm_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,16) frames.
At utterance begin, an_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,20) frames.
At utterance begin, bb_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, aa_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,19) frames.
At utterance begin, vv_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,14) frames.
At utterance begin, aa_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.0,51) frames.
At utterance begin, yy_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
At utterance begin, an_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,25) frames.
At utterance begin, jj_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,17) frames.
At utterance begin, gg_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
At utterance begin, ff_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
At utterance begin, ou_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,17) frames.
At utterance begin, ii_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,16) frames.
At utterance begin, rr_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.1,12) frames.
At utterance begin, on_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.9,21) frames.
At utterance begin, oo_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
At utterance end, nonsilence accounts for 63.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,22) frames.
At utterance end, SIL accounts for 35.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,18.1,51) frames.
At utterance end, aa_E accounts for 15.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,22) frames.
At utterance end, ii_E accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.6,21) frames.
At utterance end, nn_E accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.4,26) frames.
At utterance end, ou_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.6,22) frames.
At utterance end, ei_E accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,18) frames.
At utterance end, au_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,26) frames.
At utterance end, an_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,27) frames.
At utterance end, ss_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.7,15) frames.
At utterance end, ee_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,25) frames.
At utterance end, tt_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,18) frames.
At utterance end, ll_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,15) frames.
At utterance end, mm_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,20) frames.
At utterance end, on_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,20) frames.
At utterance end, kk_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,15) frames.
At utterance end, rr_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.9,37) frames.
At utterance end, ff_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.7,42) frames.
At utterance end, sil_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,19.9,64) frames.
At utterance end, zz_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.1,26) frames.
At utterance end, in_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,22) frames.
At utterance end, vv_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,14) frames.
At utterance end, an_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,22) frames.
Overall, nonsilence accounts for 82.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,18) frames.
Overall, SIL accounts for 14.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,17.0,49) frames.
Overall, aa_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,24) frames.
Overall, kk_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, ii_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,23) frames.
Overall, ai_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.1,13) frames.
Overall, pp_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, aa_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, sil_S accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,25.1,78) frames.
Overall, ii_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,12) frames.
