# gunzip -c exp/tri5a_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 16:44:35 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 48.4848484848% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 32.3232323232% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 48.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,19.1,52) frames.
At utterance begin, nonsilence accounts for 42.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,11) frames.
At utterance begin, ai_B accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.4,10) frames.
At utterance begin, sil_S accounts for 9.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,55.2,135) frames.
At utterance begin, pp_B accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.4,11) frames.
At utterance begin, aa_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.0,3) frames.
At utterance begin, tt_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.0,6) frames.
At utterance begin, nn_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,3) frames.
At utterance begin, kk_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,4) frames.
At utterance begin, ii_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance begin, an_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.5,4) frames.
At utterance begin, aa_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, ii_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, ff_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, gg_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,8) frames.
At utterance begin, ou_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, nonsilence accounts for 65.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.9,30) frames.
At utterance end, SIL accounts for 32.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.3,45) frames.
At utterance end, aa_E accounts for 12.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.8,26) frames.
At utterance end, ii_E accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.4,29) frames.
At utterance end, ou_E accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,28.6,22) frames.
At utterance end, mm_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.8,24) frames.
At utterance end, ll_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,3) frames.
At utterance end, au_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,5) frames.
At utterance end, nn_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.0,13) frames.
At utterance end, rr_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,30.7,27) frames.
At utterance end, an_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.3,4) frames.
At utterance end, sil_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,25.5,4) frames.
At utterance end, on_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.0,4) frames.
At utterance end, ff_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.5,3) frames.
At utterance end, ee_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.5,21) frames.
At utterance end, vv_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,10) frames.
At utterance end, ww_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,21) frames.
At utterance end, on_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance end, kk_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance end, ss_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance end, pp_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance end, ou_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.0,16) frames.
At utterance end, in_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance end, ch_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, nonsilence accounts for 88.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.3,31) frames.
Overall, SIL accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.1,45) frames.
Overall, aa_E accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.2,23) frames.
Overall, kk_B accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,16) frames.
Overall, ii_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,29) frames.
Overall, ai_B accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.6,28) frames.
Overall, pp_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,16) frames.
Overall, nn_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,15.3,43) frames.
Overall, ou_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.2,37) frames.
Overall, ii_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.0,20) frames.
Overall, aa_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,17) frames.
