# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:35:08 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 14.7817460317% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 38.2158709538% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 80.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
At utterance begin, SIL accounts for 14.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,13.4,42) frames.
At utterance begin, kk_B accounts for 12.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
At utterance begin, pp_B accounts for 8.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, ai_B accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,11) frames.
At utterance begin, tt_B accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
At utterance begin, sil_S accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,27.8,80) frames.
At utterance begin, dd_B accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
At utterance begin, nn_B accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
At utterance begin, ll_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
At utterance begin, ss_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
At utterance begin, mm_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
At utterance begin, an_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,19) frames.
At utterance begin, bb_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
At utterance begin, aa_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,19) frames.
At utterance begin, vv_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,14) frames.
At utterance begin, yy_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
At utterance begin, aa_S accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.7,51) frames.
At utterance begin, an_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,21) frames.
At utterance begin, gg_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
At utterance begin, jj_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,17) frames.
At utterance begin, ff_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
At utterance begin, ou_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,15) frames.
At utterance begin, rr_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,10) frames.
At utterance begin, ii_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,16) frames.
At utterance begin, oo_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
At utterance begin, on_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
At utterance end, nonsilence accounts for 60.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
At utterance end, SIL accounts for 38.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.8,50) frames.
At utterance end, aa_E accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,21) frames.
At utterance end, ii_E accounts for 8.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.4,20) frames.
At utterance end, nn_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.2,28) frames.
At utterance end, ou_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
At utterance end, ei_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,17) frames.
At utterance end, au_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,26) frames.
At utterance end, an_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.7,27) frames.
At utterance end, ss_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,15) frames.
At utterance end, ee_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,25) frames.
At utterance end, on_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,19) frames.
At utterance end, mm_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
At utterance end, kk_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
At utterance end, tt_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
At utterance end, rr_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.5,25) frames.
At utterance end, sil_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,17.3,62) frames.
At utterance end, ll_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,12) frames.
At utterance end, ff_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.5,42) frames.
At utterance end, zz_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.6,27) frames.
At utterance end, in_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,18) frames.
At utterance end, vv_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
At utterance end, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,21) frames.
Overall, nonsilence accounts for 80.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,18) frames.
Overall, SIL accounts for 16.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,16.5,48) frames.
Overall, aa_E accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,22) frames.
Overall, kk_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, ii_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,22) frames.
Overall, ai_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,12) frames.
Overall, pp_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, aa_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,16) frames.
Overall, sil_S accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,24.1,75) frames.
Overall, ii_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,11) frames.
Overall, nn_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.3,35) frames.
Overall, ou_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,25) frames.
Overall, dd_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, tt_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,19) frames.
Overall, nn_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
Overall, rr_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, ll_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, an_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, ss_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
Overall, mm_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, tt_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, au_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,28) frames.
Overall, ll_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,10) frames.
Overall, ss_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, an_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
Overall, ou_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,15) frames.
Overall, ai_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,10) frames.
Overall, ww_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, oo_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, bb_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, mm_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,20) frames.
Overall, tt_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,19) frames.
