# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 16:40:48 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 48.4848484848% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 32.3232323232% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 48.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,19.4,51) frames.
At utterance begin, nonsilence accounts for 41.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,11) frames.
At utterance begin, ai_B accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.4,10) frames.
At utterance begin, sil_S accounts for 10.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,49.8,135) frames.
At utterance begin, pp_B accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,11) frames.
At utterance begin, aa_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.3,4) frames.
At utterance begin, tt_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.3,5) frames.
At utterance begin, nn_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,3) frames.
At utterance begin, kk_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,4) frames.
At utterance begin, an_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,3) frames.
At utterance begin, aa_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, ii_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance begin, ii_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, ff_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, gg_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, ou_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, nonsilence accounts for 65.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.5,31) frames.
At utterance end, SIL accounts for 32.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.3,46) frames.
At utterance end, aa_E accounts for 12.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.5,27) frames.
At utterance end, ii_E accounts for 10.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,12.4,28) frames.
At utterance end, ou_E accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,27.8,22) frames.
At utterance end, mm_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (22,20.2,24) frames.
At utterance end, ll_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance end, au_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,5) frames.
At utterance end, nn_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.0,13) frames.
At utterance end, rr_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,30.7,27) frames.
At utterance end, an_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,4) frames.
At utterance end, sil_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,25.5,4) frames.
At utterance end, on_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.5,4) frames.
At utterance end, ff_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,11.5,4) frames.
At utterance end, ee_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,23.0,18) frames.
At utterance end, vv_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.5,7) frames.
At utterance end, ww_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,21) frames.
At utterance end, tt_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance end, on_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
