# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 13:36:21 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 52.6335877863% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 57.6271186441% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 52.6% of phone occurrences, with duration (median, mean, 95-percentile) is (32,43.9,133) frames.
At utterance begin, nonsilence accounts for 45.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.2,47) frames.
At utterance begin, e_S accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,14.8,42) frames.
At utterance begin, s_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.6,17) frames.
At utterance begin, ei_S accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (27,36.1,94) frames.
At utterance begin, k_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,9) frames.
At utterance begin, m_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
At utterance begin, d_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,18) frames.
At utterance begin, p_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,6) frames.
At utterance begin, SPN_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,22.6,66) frames.
At utterance begin, t_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,7) frames.
At utterance begin, pp_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
At utterance begin, ɑ_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.5,26) frames.
At utterance begin, mm_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,22.4,49) frames.
At utterance begin, ɑ̃_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
At utterance begin, tt_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,11) frames.
At utterance begin, ɑ̃_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,12) frames.
At utterance begin, yy_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,22) frames.
At utterance begin, kk_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,12) frames.
At utterance begin, ɑ_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.5,17) frames.
At utterance begin, l_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,7) frames.
At utterance begin, n_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,3) frames.
At utterance begin, ll_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,10) frames.
At utterance begin, dd_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,16) frames.
At utterance begin, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,27.2,59) frames.
At utterance begin, nn_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,16) frames.
At utterance end, SIL accounts for 57.6% of phone occurrences, with duration (median, mean, 95-percentile) is (29,47.0,142) frames.
At utterance end, nonsilence accounts for 39.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.9,47) frames.
At utterance end, aa_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.4,34) frames.
At utterance end, ii_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.9,62) frames.
At utterance end, SPN_S accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (45,45.9,78) frames.
At utterance end, e_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (20,18.3,32) frames.
At utterance end, ei_S accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (25,27.4,51) frames.
At utterance end, ei_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,22.4,47) frames.
At utterance end, nn_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.4,30) frames.
At utterance end, ɑ_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.3,12) frames.
At utterance end, n_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,9) frames.
At utterance end, ai_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.4,52) frames.
At utterance end, mm_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,19.0,33) frames.
At utterance end, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,15.1,36) frames.
At utterance end, i_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.8,42) frames.
At utterance end, an_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.3,21) frames.
