# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:38:31 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 14.6626984127% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 38.2174572233% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 80.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
At utterance begin, SIL accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.4,41) frames.
At utterance begin, kk_B accounts for 12.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
At utterance begin, pp_B accounts for 8.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, ai_B accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,11) frames.
At utterance begin, tt_B accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
At utterance begin, sil_S accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,27.9,82) frames.
At utterance begin, dd_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
At utterance begin, nn_B accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,17) frames.
At utterance begin, ll_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
At utterance begin, ss_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,17) frames.
At utterance begin, mm_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
At utterance begin, an_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
At utterance begin, bb_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
At utterance begin, aa_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,19) frames.
At utterance begin, vv_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
At utterance begin, yy_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
At utterance begin, aa_S accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.7,51) frames.
At utterance begin, an_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,22) frames.
At utterance begin, gg_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
At utterance begin, jj_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,17) frames.
At utterance begin, ff_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,18) frames.
At utterance begin, ou_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,15) frames.
At utterance begin, rr_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,10) frames.
At utterance begin, ii_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,16) frames.
At utterance begin, oo_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
At utterance begin, on_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
At utterance end, nonsilence accounts for 60.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
At utterance end, SIL accounts for 38.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.8,50) frames.
At utterance end, aa_E accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,21) frames.
At utterance end, ii_E accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,21) frames.
At utterance end, nn_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.2,29) frames.
At utterance end, ou_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
At utterance end, ei_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,17) frames.
At utterance end, au_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,26) frames.
At utterance end, an_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,26) frames.
At utterance end, ss_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,14) frames.
At utterance end, ee_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,25) frames.
At utterance end, on_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,19) frames.
At utterance end, mm_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
At utterance end, kk_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,14) frames.
At utterance end, tt_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
At utterance end, rr_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.8,28) frames.
At utterance end, ll_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,12) frames.
At utterance end, sil_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,18.0,62) frames.
At utterance end, ff_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.5,42) frames.
At utterance end, zz_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.7,27) frames.
At utterance end, in_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
At utterance end, vv_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
At utterance end, an_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,21) frames.
Overall, nonsilence accounts for 81.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,18) frames.
Overall, SIL accounts for 16.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,16.5,48) frames.
Overall, aa_E accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,22) frames.
Overall, kk_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, ii_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.0,22) frames.
Overall, ai_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,12) frames.
Overall, pp_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
