# gunzip -c exp/tri2_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:50:34 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 13.6607142857% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 36.8786629043% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 81.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
At utterance begin, SIL accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.6,42) frames.
At utterance begin, kk_B accounts for 12.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,11) frames.
At utterance begin, pp_B accounts for 8.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
At utterance begin, ai_B accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,11) frames.
At utterance begin, tt_B accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
At utterance begin, sil_S accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,28.1,80) frames.
At utterance begin, dd_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
At utterance begin, nn_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
At utterance begin, ll_B accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, ss_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
At utterance begin, mm_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
At utterance begin, bb_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, an_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,20) frames.
At utterance begin, aa_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,21) frames.
At utterance begin, vv_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
At utterance begin, aa_S accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.1,51) frames.
At utterance begin, yy_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,15) frames.
At utterance begin, an_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,25) frames.
At utterance begin, jj_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,17) frames.
At utterance begin, gg_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,13) frames.
At utterance begin, ff_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
At utterance begin, ou_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,17) frames.
At utterance begin, rr_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,12) frames.
At utterance begin, ii_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
At utterance begin, on_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,21) frames.
At utterance begin, oo_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
At utterance end, nonsilence accounts for 62.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
At utterance end, SIL accounts for 36.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.9,51) frames.
At utterance end, aa_E accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,22) frames.
At utterance end, ii_E accounts for 8.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,20) frames.
At utterance end, nn_E accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.3,26) frames.
At utterance end, ou_E accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.5,22) frames.
At utterance end, ei_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,17) frames.
At utterance end, au_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,26) frames.
At utterance end, an_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,27) frames.
At utterance end, ss_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
At utterance end, ee_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,25) frames.
At utterance end, tt_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,18) frames.
At utterance end, on_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,19) frames.
At utterance end, mm_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,19) frames.
